"","x"
"1",310196.942129344
"2",845551.189203898
"3",305946.047658446
"4",532806.48525657
"5",485256.551441816
"6",469122.812140798
"7",649505.403040588
"8",296207.147761108
"9",232566.674288839
"10",640855.471564452
"11",309504.753744401
"12",276381.357337476
"13",203457.942394524
"14",299164.145634571
"15",506955.083034876
"16",682490.257181774
"17",754561.82172425
"18",437915.722702125
"19",646969.886320192
"20",323579.861865417
"21",845684.796315553
"22",190384.230360557
"23",283359.368130465
"24",420132.585842401
"25",742286.478400075
"26",285037.2517204
"27",1126932.72359022
"28",479434.996074222
"29",201349.280192976
"30",305770.480374636
"31",201805.376253436
"32",948282.250606625
"33",618892.684872314
"34",155254.595739258
"35",214053.712270559
"36",458603.19282708
"37",176779.68604726
"38",1165190.42505548
"39",1626675.14923959
"40",254383.516342981
"41",664906.647963779
"42",1031359.73802034
"43",244702.038614107
"44",356922.932386846
"45",147940.138884061
"46",1217284.54674931
"47",826625.729541966
"48",554931.260573336
"49",388426.656421267
"50",679901.151771583
"51",343992.826451698
"52",369408.776714859
"53",1429369.21045513
"54",1449287.60136505
"55",544977.191879114
"56",475388.545259613
"57",162837.269106413
"58",296268.706974875
"59",936500.829793751
"60",492516.256209208
"61",1020787.21610903
"62",661699.581668427
"63",358334.604777524
"64",538623.564022692
"65",461189.554703701
"66",212084.340117963
"67",125141.399702038
"68",932599.194838941
"69",646244.416756832
"70",475748.731402737
"71",793969.653118908
"72",932769.041243338
"73",362676.588389879
"74",512345.24794077
"75",400307.77140181
"76",913777.50211319
"77",388112.953991537
"78",665184.648386649
"79",299553.580908153
"80",1291393.11163579
"81",645712.321260138
"82",487282.970119252
"83",248493.740155879
"84",580056.444377508
"85",486240.666025921
"86",669245.735173489
"87",526600.302394881
"88",453585.072072101
"89",1190191.28668877
"90",1319718.81237356
"91",778372.543458394
"92",255326.988056162
"93",111511.842083234
"94",310619.589288339
"95",236476.832548751
"96",442386.968424918
"97",256356.607343363
"98",426809.716778145
"99",282512.245467491
"100",284485.033297043
"101",1077722.76680882
"102",443448.109888964
"103",359858.67685352
"104",731361.76088081
"105",512635.277246061
"106",986790.8268403
"107",187695.998690101
"108",292494.700049467
"109",1458837.93417339
"110",261392.369383228
"111",1761909.03325807
"112",193818.132286256
"113",274967.106202895
"114",328565.552789756
"115",2687406.60704679
"116",378331.388113005
"117",1503171.08197028
"118",132242.411665829
"119",400659.387417597
"120",654900.223655612
"121",253004.688878871
"122",241123.372604878
"123",256425.063733369
"124",814109.622275729
"125",262312.271949512
"126",382949.727220764
"127",823357.147299087
"128",1104315.88567232
"129",432479.303679773
"130",604247.138171291
"131",506176.294475569
"132",588401.851242185
"133",355785.638467068
"134",298229.723843685
"135",698546.211299306
"136",433192.943772628
"137",1073349.70393318
"138",245891.836498039
"139",473685.210087761
"140",271565.534100327
"141",528198.155117557
"142",940355.256652801
"143",474253.018125733
"144",359889.589285959
"145",715079.961507458
"146",700805.05097255
"147",218631.756386884
"148",324432.54846673
"149",581724.928308145
"150",245579.720163229
"151",227918.943237383
"152",310742.876819499
"153",257337.524790524
"154",1175425.24312694
"155",542067.598379012
"156",386591.509031426
"157",531594.956494412
"158",484013.548415141
"159",609995.241581818
"160",871830.521002543
"161",1307115.33068062
"162",799265.208301514
"163",334671.68027215
"164",1148356.10113404
"165",422744.947568914
"166",551260.662664465
"167",279200.890403569
"168",475909.193007118
"169",245453.341866305
"170",188344.319516502
"171",433784.110143625
"172",674409.110915643
"173",315829.679656252
"174",320804.031261082
"175",333842.3252903
"176",276388.275870315
"177",401169.49231513
"178",287562.995260005
"179",431040.962215485
"180",170738.235285781
"181",578109.382904917
"182",241074.66944831
"183",1004544.38901174
"184",794346.932744786
"185",861441.262596046
"186",1225820.53536062
"187",290201.146025697
"188",476054.449401953
"189",222199.713872254
"190",460647.802594424
"191",181994.232903537
"192",565864.540092854
"193",254737.654430117
"194",292676.426487384
"195",273879.02337032
"196",378745.539561293
"197",193381.255636143
"198",249760.147314648
"199",431625.25499548
"200",182485.536312271
"201",370611.741359503
"202",224790.935896766
"203",143794.774666723
"204",254204.177014222
"205",575074.889869391
"206",285562.737677496
"207",347751.772103309
"208",209009.675309043
"209",539519.860150214
"210",255639.308030583
"211",134776.968770575
"212",580295.651480818
"213",452381.164361425
"214",588349.969768166
"215",832927.798055447
"216",266274.223354626
"217",727154.069862004
"218",238326.826200117
"219",281136.65214103
"220",381996.986026637
"221",240161.988897566
"222",643096.612965778
"223",229878.177296038
"224",161927.05637757
"225",337928.27032355
"226",138949.305119198
"227",938796.083931097
"228",577502.860615339
"229",475642.149312127
"230",775164.841685701
"231",339098.195770528
"232",319441.367378854
"233",396372.639574323
"234",453380.7721383
"235",163269.391023387
"236",491095.000324272
"237",498070.16989728
"238",483730.595201162
"239",431216.549759383
"240",925455.902464752
"241",356640.53083703
"242",444756.33497488
"243",532038.310581546
"244",383061.641221191
"245",747109.408080592
"246",651233.28238213
"247",305235.723978495
"248",235274.711691592
"249",408465.244622274
"250",873062.861929299
"251",663599.662667811
"252",430720.560240404
"253",420392.104308191
"254",343192.046618173
"255",219351.671221332
"256",392330.504628949
"257",188923.189476662
"258",553961.669796505
"259",456931.444442682
"260",373100.433293825
"261",1044596.05717035
"262",594364.036026913
"263",312686.975004407
"264",556896.138654161
"265",622331.879335504
"266",520386.018505452
"267",505232.028274093
"268",575315.072571853
"269",421845.124766036
"270",509730.155037042
"271",774108.456512198
"272",352507.331752697
"273",141351.088288829
"274",991223.773556393
"275",671237.836294869
"276",481236.788576442
"277",440590.046350859
"278",242243.285822824
"279",657503.621383825
"280",340041.581836199
"281",986597.864388485
"282",281892.66554102
"283",689655.358035767
"284",282152.768104499
"285",649001.047289442
"286",587055.853552718
"287",561437.719702581
"288",1455290.38019881
"289",284481.990753709
"290",585112.319372836
"291",239464.009802315
"292",320810.081959743
"293",478501.599371789
"294",1354700.37331349
"295",688814.096268399
"296",333418.730173655
"297",740693.911025229
"298",178740.873284504
"299",631659.557909282
"300",1028971.24925769
"301",312270.121635501
"302",386170.669608671
"303",785629.533009533
"304",791797.531146227
"305",476514.585228052
"306",1226983.88158183
"307",460412.489309015
"308",334629.554192607
"309",456826.611259028
"310",527065.489470307
"311",438488.957127063
"312",760395.358515942
"313",137621.677436088
"314",558307.197566117
"315",873529.644399028
"316",1485435.69741994
"317",486191.022700564
"318",268220.771504341
"319",1113019.07807519
"320",474095.206044764
"321",777512.121517768
"322",532277.779694451
"323",273453.65765474
"324",259296.092812627
"325",566440.963464317
"326",306300.242059396
"327",528512.763234436
"328",474971.11679837
"329",282064.789784548
"330",990231.338904996
"331",464855.235293138
"332",487459.993239124
"333",1200298.79128339
"334",397483.000034489
"335",409403.731187551
"336",247592.364063996
"337",821816.994342592
"338",604466.679653821
"339",369548.003633848
"340",606416.791367637
"341",219633.66076009
"342",357700.255856319
"343",279404.216737192
"344",232813.872536027
"345",273509.679565763
"346",332863.850945907
"347",218102.565828794
"348",339851.569230161
"349",471742.491732336
"350",460719.888757737
"351",305081.680911784
"352",394935.871601563
"353",329488.725268168
"354",557875.449354151
"355",348706.775985444
"356",499910.565392374
"357",457028.766993649
"358",331608.130865707
"359",305737.136432472
"360",319396.721680719
"361",492771.701761829
"362",1012073.8006054
"363",1487285.57707805
"364",410142.077907511
"365",142522.304289727
"366",836855.992505881
"367",366789.695666064
